product_id,product_name,category,price
b3e1f748-21b2-4085-b180-86ec0cc485b3,Ultimate Running Shoes Rabat,Sports,2644.64
5fd04e4a-12b1-4919-89b0-2039de5d0757,Pro Speaker Marrakech,Electronics,4058.34
bad3b7b2-ef4f-43ad-a6da-4d7f28374f82,Eco-Friendly Jacket Kasbah,Clothing,4735.31
b40d2a19-c36e-4083-9e9a-ba654117246e,Elegant Headphones Atlas,Electronics,1015.69
04de5073-c78b-4a8b-af96-09ac3bb42ad1,Modern Moroccan History Rabat,Books,3717.01
e9079e44-c167-489a-a2e2-c6b5a5ca4742,Luxury Speaker Oasis,Electronics,3622.42
3bb5c018-96aa-4f8e-80d8-4d1f16da9493,Ultimate Smartwatch Casablanca,Electronics,2424.39
73610416-c82f-4c63-a853-8c82bddd4e48,Modern Smartwatch Fez,Electronics,1164.2
e4c8e369-ca8c-4898-9746-b402fc0f3ff6,Eco-Friendly Travel Guide Atlas,Books,612.91
2e93314c-e0ee-41a0-8568-382104ee1ed3,Chic Biography Marrakech,Books,3919.28
b152e731-184b-4964-80b3-263391e8ed6a,Luxury Headphones Rabat,Electronics,3737.65
e8e2887e-6c68-4c82-8b53-6b63d425bbaf,Modern Scarf Atlas,Clothing,4124.02
c6ea78ea-a93a-4710-b897-fb603ba6c054,Eco-Friendly Yoga Mat Casablanca,Sports,1953.44
b1aa0518-96f1-4bfe-a76b-dffe966ee234,Premium Tablet Atlas,Electronics,248.33
0bea9e1c-43d7-45a4-a3ae-f31fc951fbc0,Authentic Smartwatch Kasbah,Electronics,4122.64
054e8af7-03a8-46eb-bdf4-a99ad29f103c,Authentic Jeans Marrakech,Clothing,3909.83
df162786-42ec-425c-9742-9b09b00844c9,Chic Coffee Maker Atlas,Home,4003.06
32ce47b7-ab75-4931-bca7-37d58ec7dc3e,Traditional Tennis Racket Fez,Sports,4216.61
a3d65e53-78cd-4c93-a5c2-ca1a9149939f,Elegant Smartwatch Casablanca,Electronics,3446.71
6fd26942-1340-458e-a012-7cb93df7ae86,Eco-Friendly Microwave Marrakech,Home,3070.42
b3af6e65-a5f3-4c78-a458-b882ca328fbf,Chic Dumbbells Kasbah,Sports,1612.83
64546134-ce5d-4501-b944-d07e1cf69126,Pro Coffee Maker Casablanca,Home,300.33
